epsilon,contaminant_location,replicate,n,hellinger_loss,hellinger_squared_loss,tv_loss
0.04,3.0,1,200000,0.0246329054023911,0.0006067800285631486,0.025532386089503454
0.04,3.0,2,200000,0.020168679969111872,0.00040677565169645446,0.025130096785103997
0.04,3.0,3,200000,0.02680235847168409,0.0007183664196446558,0.027022864259777613
0.04,3.5,0,200000,0.02261638815048894,0.0005115010129735765,0.026076429526873418
0.04,3.5,1,200000,0.03408286460354163,0.001161641659583351,0.029036730092121134
0.04,3.5,2,200000,0.025690784878191014,0.0006600164276574881,0.027508872776071516
0.04,3.5,3,200000,0.03627911875163179,0.0013161744573950015,0.029723608165700906
0.04,4.0,0,200000,0.031088830428184458,0.0009665153773924078,0.027704249043124296
0.04,4.0,1,200000,0.046988826938100275,0.002207949857018738,0.03202792030156543
0.04,4.0,2,200000,0.036328996160568026,0.0013197959620345665,0.029718109920589188
0.04,4.0,3,200000,0.04850591363741269,0.0023528236578001386,0.0316316965245772
0.08,-4.0,0,200000,0.06325599991723338,0.0040013215255290295,0.054399074540809375
0.08,-4.0,1,200000,0.07549052428468665,0.005698819256776865,0.0603481423402977
0.08,-4.0,2,200000,0.08223916852608418,0.006763280839861674,0.06414695933710285
0.08,-4.0,3,200000,0.09009236695038017,0.008116634582721953,0.06699230340030585
0.08,-3.5,0,200000,0.04514388925741066,0.002037970737285358,0.048606579636289095
0.08,-3.5,1,200000,0.05605393605147996,0.0031420437468634046,0.054496288122841435
0.08,-3.5,2,200000,0.06300452690067863,0.003969570409978337,0.06005440323333868
0.08,-3.5,3,200000,0.07147731655071236,0.00510900678129074,0.06331543722865242
0.08,-3.0,0,200000,0.03366302212228177,0.0011331990584052317,0.043349653241370995
0.08,-3.0,1,200000,0.04205247145885717,0.0017684103557979967,0.04877644672513542
0.08,-3.0,2,200000,0.049381220110668214,0.002438504899618263,0.055722944058303366
0.08,-3.0,3,200000,0.05684296599130101,0.003231122782688203,0.05829962514632091
0.08,-2.5,0,200000,0.028817809485305403,0.0008304661435313581,0.03874102076170504
0.08,-2.5,1,200000,0.033737738127992814,0.00113823497399302,0.0440829302751774
0.08,-2.5,2,200000,0.04072528248866572,0.0016585486337816228,0.050347069752114684
0.08,-2.5,3,200000,0.04639633382816624,0.002152619792694643,0.05219196401032464
0.08,-2.0,0,200000,0.029539647713976498,0.000872590787065837,0.03736145853264615
0.08,-2.0,1,200000,0.02997086072601927,0.0008982524926584444,0.03951019433011631
