attempt,components,support_half_width,amplitude,tv,hellinger
162,11,2.4001991866396453,0.06978722741184082,0.0032593072015975125,0.0044014075737346375
164,8,2.251838897341618,0.004884415881271294,0.00026901305722252047,0.00020650159819732373
165,8,1.8735275715357678,0.008292867951861311,0.00017603664211147008,0.00015813961654073428
166,15,3.2154550602404077,0.00041058906419272145,5.2291098044839816e-05,5.025796590224594e-05
168,15,2.162441983139281,0.000106724102101683,3.2737351760298226e-06,3.292694146797128e-06
169,15,3.930094633395955,0.00010378166215088402,2.6673102965132013e-05,2.4167591961003295e-05
170,8,3.456637909520375,0.0015690581681365352,0.0003047125362777278,0.0003620756800679309
171,15,2.6079212509156378,0.051977275722532155,0.0037528180554509284,0.003299578160745765
172,15,3.316114688143973,0.031932950495748305,0.003555070627947071,0.00334394298124375
173,15,2.4265709304373457,0.00022437784384919532,1.4155333426835794e-05,1.3633264928441631e-05
174,5,3.0608925268370557,0.031287898405642924,0.008366690597409184,0.0064163686912609725
175,8,2.398284038809532,0.0012758626331764503,0.00011349457105320132,0.00017365605034510708
176,15,1.9075937877276608,0.0008085328277048149,7.093686493150645e-05,7.414828271454417e-05
177,11,2.372317129133032,0.0013159508942261052,0.00022917002478117015,0.00027771120686126237
178,5,2.8374441252267917,0.02739189659414729,0.007294692821356338,0.006896501210214552
179,8,2.287595567339976,0.22091743147483336,0.037538298776294846,0.03058564389831267
180,15,2.2592795099128926,0.0010722445087888344,5.896976697909958e-05,6.187412815122571e-05
181,5,3.6068762331644613,0.0001386212892475685,2.375127806415861e-05,2.2562744104912373e-05
182,11,1.7328044686975983,0.0007886664757521831,0.00010008216589338479,8.350212932119378e-05
184,5,2.708853951767703,0.0008142691730139799,0.00022012611004982647,0.00027028948570334874
185,15,1.5467535462915947,0.0021670398867084757,0.00011613403280603474,0.00010202749830739275
186,11,1.608929333363334,0.03222407938109103,0.002822140304839282,0.0025545505644461726
187,11,2.5679786486799703,0.0007441387014658461,4.701382426924365e-05,5.103005743006245e-05
188,8,2.2661443713645095,0.004992307016666115,0.0011165918523231538,0.0010093648569253957
189,5,1.8634827597477917,0.07230097072683252,0.01262691162480453,0.00985895888524965
190,11,2.889197660063698,0.17201360533010246,0.02213736951683374,0.02315864121909439
191,15,1.6456564271115377,0.026279405639396906,0.002514905075423994,0.002067548231391252
192,11,3.172536936273403,0.016910037082330274,0.0028894819866633593,0.002633623823678961
193,8,1.6875174681814555,0.008899381870683424,0.001838432923115598,0.0015550143062642203
194,8,2.6664293495354823,0.00010566828942109968,3.371312529567254e-05,2.5376999589091247e-05
196,8,2.2075661770207686,0.008618363328386362,0.002900454923437072,0.0022030424043568433
197,11,3.8326441282977557,0.0018519781029481428,0.00043521132962740243,0.00037405527237928924
198,5,2.9528924845148077,0.003086806086342336,0.0002599126210580964,0.0003084886484935798
199,15,1.7742042167092191,0.023340568309322678,0.0019471568020771916,0.002177200726121424
200,5,3.4113894181551423,0.0012857124566090083,0.00043655125103540956,0.00035689522548418783
201,15,3.1934946432040374,0.003460814032293072,0.0003051446343194124,0.0005000429104256409
203,8,2.4220074031808023,0.0016167700131374998,0.0006042961344603049,0.0005538644053139579
204,8,3.054192921179821,0.0002296624143656731,4.470974180729355e-05,4.1735421119561686e-05
205,5,2.4359109868010034,0.0005630777347379675,4.863662891241188e-05,6.625630134120164e-05
208,11,2.609315791219674,0.1236699880168146,0.02736193565822577,0.02162404549434483
209,15,2.282026154700733,0.0006428808182775345,7.089982630804374e-05,5.7800747658870384e-05
211,11,2.387301437765383,0.009208857168586295,0.002044382499221787,0.0018617365926119366
213,5,2.6630097858427577,0.00011170478066142904,5.078412863526514e-05,4.871663443282624e-05
214,15,3.426996185731971,0.0004363484092883185,6.487039159434757e-05,5.507704004361295e-05
215,15,2.254135058532907,0.0010773804307408934,0.00026014909048576286,0.00021897199544087555
217,8,2.901526955630495,0.005987290321872142,0.002443191977374262,0.0018293931140499669
218,11,2.6480422928240377,0.000785015711815836,0.0001421957401306083,0.0001365564409612651
220,5,1.7734991010540542,0.0003367102144295983,5.946083472879286e-06,8.253048278565909e-06
221,5,3.666753740305381,0.04563058458281211,0.005709382229810209,0.004629597201792773
222,8,2.0391392682462435,0.0005407261658623541,0.00011295740355627434,0.00010119901954097304
223,8,2.6478684764860416,0.0498519107084524,0.011339863791128543,0.01009966979108843
224,5,3.9046112289674686,0.028868424143651646,0.0027664915831651198,0.0024036000728778636
225,15,3.903472704656261,0.001995500819047117,0.0002976543011407852,0.0003206637266668246
226,8,3.2229316413301516,0.0037184057230808436,0.00035986773514049453,0.0002886555040231762
227,15,2.803575022793144,0.07728935272105632,0.015524963947713815,0.01208089470562929
229,11,1.5738238814109728,0.0002833239628449305,4.509788911549647e-05,4.7120851431175905e-05
230,5,3.3860222637274098,0.219048615703821,0.1041811110171029,0.08594575937342344
231,8,1.938900642026239,0.0420464096615863,0.008727430678171784,0.010528108089166578
232,8,3.7313704336286717,0.010817271706622226,0.0016532091673269983,0.0017325452845076794
233,8,2.6848559347754093,0.0022632674363066685,0.0003967614381005955,0.000326349201214715
234,5,2.5776713275230456,0.0007069282065187987,8.00425001560506e-05,7.28117299762049e-05
235,5,3.970944768452932,0.00030094087409065985,9.634917721395463e-05,0.00011751961588486477
236,15,1.6756654231521504,0.0008942908925607236,0.00010327388279737945,9.451932368236756e-05
