family,components,support_half_width,relative_amplitude,amplitude,tv,hellinger,hellinger_squared,chi_squared,sqrt_chi_squared,alpha,theorem_2_1_rhs_C0_1,corollary_2_4_rhs_C0_1,theorem_2_1_ratio,corollary_2_4_ratio,hellinger_over_tv,sqrt_chi_over_tv
8,3,1.9925220067365053,0.003,0.00030000000000000003,0.0001170173011770264,0.000103121586600883,1.0634061623083412e-08,8.505536024088598e-08,0.00029164252131828444,0.9985851659959405,0.9872729237288091,0.9872729237288091,0.0002954021267156667,0.00010445094170252879,0.881250768592572,2.492302577352054
8,3,1.9925220067365053,0.001,0.0001,3.900576705900892e-05,3.437155425899846e-05,1.1814037421792753e-09,9.450595582320708e-09,9.721417377276169e-05,0.9492369100052758,0.5972993961071045,0.5972993961071045,0.00016275618962007082,5.754493388577801e-05,0.881191599360174,2.492302577352052
9,11,3.831335076739494,1.0,0.1,0.026932161310000174,0.023417955778185017,0.000548400652829029,0.004240397481964135,0.06511833445324086,1.712148455330523,13.11837179191433,13.11837179191433,0.004963903713521624,0.0017851267024326116,0.8695163937507571,2.4178651577087424
9,11,3.831335076739494,0.3,0.03,0.008079648393000051,0.006939732853712833,4.815989208090126e-05,0.0003816357733767721,0.019535500335972254,1.3990964994911266,6.841515942771455,6.841515942771455,0.002855434453326516,0.001014356015795761,0.858915204741483,2.4178651577087424
9,11,3.831335076739494,0.1,0.010000000000000002,0.0026932161310000173,0.002305856006575557,5.316971923060576e-06,4.240397481964136e-05,0.006511833445324086,1.2374616932044404,4.07579329250123,4.07579329250123,0.0015976849113778064,0.0005657440996377176,0.8561719128421269,2.4178651577087424
9,11,3.831335076739494,0.03,0.003,0.0008079648393000051,0.0006910035569037291,4.774859156536053e-07,3.816357733767722e-06,0.0019535500335972258,1.1207067130265005,2.3621011476757046,2.3621011476757046,0.0008270391111403121,0.0002925376661298662,0.8552396382773196,2.4178651577087424
9,11,3.831335076739494,0.01,0.001,0.0002693216131000017,0.00023026348192180246,5.302127110675224e-08,4.240397481964127e-07,0.000651183344532408,1.0443754810527044,1.4401523334160267,1.4401523334160267,0.00045216282293402093,0.00015988828166227376,0.8549758753906743,2.4178651577087407
9,11,3.831335076739494,0.003,0.00030000000000000003,8.079648392999981e-05,6.907160760738092e-05,4.770886977468001e-09,3.8163577337677133e-08,0.00019535500335972236,0.9807353477680477,0.8339832708246411,0.8339832708246411,0.0002342433118191396,8.282133470025488e-05,0.8548838296877244,2.417865157708761
9,11,3.831335076739494,0.001,0.0001,2.6932161310000106e-05,2.3023161614193273e-05,5.300659707132626e-10,4.2403974819641154e-09,6.51183344532407e-05,0.9347834303948784,0.5034750620438693,0.5034750620438693,0.00012933775545682688,4.5728504448125375e-05,0.8548575567028335,2.417865157708743
10,21,3.0562389542408495,1.0,0.04641793759031009,0.004902383018657028,0.00389517180536684,1.5172363393324766e-05,0.00012146872099626358,0.011021284906773057,1.316495231514929,5.382389164817832,5.382389164817832,0.0020476566389539532,0.0007236882518320603,0.7945466093822049,2.2481484749007348
10,21,3.0562389542408495,0.3,0.013925381277093028,0.0014707149055971074,0.0011688468176138062,1.3662028830459224e-06,1.0932184889663705e-05,0.003306385472031914,1.1732193906058785,3.094845606953988,3.094845606953988,0.0010683523160582244,0.00037767532408965947,0.794747379771239,2.2481484749007343
10,21,3.0562389542408495,0.1,0.004641793759031009,0.0004902383018657027,0.00038964581297609133,1.5182385956979913e-07,1.2146872099626342e-06,0.001102128490677305,1.0832861971409915,1.8864417310251476,1.8864417310251476,0.0005842366994703706,0.00020655067504488802,0.7948089969576306,2.2481484749007334
10,21,3.0562389542408495,0.03,0.0013925381277093028,0.00014707149055970985,0.00011689698144867517,1.3664904271811906e-08,1.0932184889663661e-07,0.00033063854720319076,1.0103133047801822,1.095280729488032,1.095280729488032,0.0003018756180963226,0.00010672787195234999,0.7948310104412515,2.248148474900743
