epsilon,contaminant_location,replicate,n,hellinger_loss,hellinger_squared_loss,tv_loss
0.08,2.5,3,200000,0.022684012076403286,0.0005145644038824102,0.02933794148215667
0.08,3.0,0,200000,0.03380739520174741,0.0011429399703271337,0.042453292201656466
0.08,3.0,1,200000,0.05354811285807541,0.0028674003906611813,0.05986318362053608
0.08,3.0,2,200000,0.04021874177477159,0.0016175471899457575,0.049585763033173164
0.08,3.0,3,200000,0.02611932368544279,0.0006822190697849327,0.03419512517500035
0.08,3.5,0,200000,0.048321896262637276,0.0023350056584170785,0.05114343088885029
0.08,3.5,1,200000,0.06523145023750457,0.004255142100088035,0.06341183075821377
0.08,3.5,2,200000,0.052670381309505354,0.002774169067288691,0.05528374432374361
0.08,3.5,3,200000,0.03661856000578485,0.001340918936897266,0.041055472209057704
0.08,4.0,0,200000,0.06505200779316353,0.004231763717921808,0.0563105276220156
0.08,4.0,1,200000,0.0833946398978339,0.006954665963689389,0.06532166134008403
0.08,4.0,2,200000,0.06988989646556407,0.004884597627967264,0.05858858005704418
0.08,4.0,3,200000,0.053609015276189075,0.0028739265188826735,0.04888170522852075
0.16,-4.0,0,200000,0.16309782951507798,0.02660090199252944,0.13490555858743714
0.16,-4.0,1,200000,0.1230178473769502,0.015133390773258615,0.11602822068893932
0.16,-4.0,2,200000,0.13856942227780214,0.019201484790403848,0.12713563858897692
0.16,-4.0,3,200000,0.1683611470448782,0.0283454758342671,0.14011793527846325
0.16,-3.5,0,200000,0.135417966430901,0.01833802563228063,0.126065551628848
0.16,-3.5,1,200000,0.09348019198590192,0.008738546293721082,0.10347900747179031
0.16,-3.5,2,200000,0.11257528782869386,0.012673195429713268,0.11861649563203684
0.16,-3.5,3,200000,0.14413107549464116,0.02077376692324195,0.1346122841071306
0.16,-3.0,0,200000,0.11096133645163299,0.012312418187132496,0.11745180858078112
0.16,-3.0,1,200000,0.0700771457485854,0.00491080635626848,0.0871636191522904
0.16,-3.0,2,200000,0.0930993572098777,0.008667490312892408,0.1118230937574744
0.16,-3.0,3,200000,0.12132671581797543,0.014720171971175769,0.1255939672950051
0.16,-2.5,0,200000,0.09017906577908194,0.008132263904787988,0.10659443127404485
0.16,-2.5,1,200000,0.0565030386030139,0.0031925933713736793,0.07405212397880677
0.16,-2.5,2,200000,0.0817167260084809,0.006677623309545138,0.1029305596663161
0.16,-2.5,3,200000,0.10610093854985439,0.011257409161159977,0.11952564674104466
0.16,-2.0,0,200000,0.0758967332526892,0.005760314118429858,0.097032895291853
0.16,-2.0,1,200000,0.04890406801540311,0.0023916078684551737,0.06325782045583804
0.16,-2.0,2,200000,0.07226111316758634,0.0052216684762187195,0.09127864198452923
0.16,-2.0,3,200000,0.09439913479762072,0.008911196650539367,0.11173595998410533
0.16,-1.5,0,200000,0.06726127938280026,0.004524079704211111,0.08762915569176558
0.16,-1.5,1,200000,0.04635927935654256,0.0021491827824579534,0.0597291084936495
0.16,-1.5,2,200000,0.06821004625663185,0.004652610410331857,0.08532125278044593
0.16,-1.5,3,200000,0.08578562025813548,0.007359172643073024,0.10405233859649338
0.16,-1.0,0,200000,0.06428567140157537,0.004132647547551326,0.08357201965897793
0.16,-1.0,1,200000,0.05033029914287686,0.002533139011811471,0.06445239826926455
0.16,-1.0,2,200000,0.06373925277249123,0.004062692343995531,0.08115003500953501
0.16,-1.0,3,200000,0.07903853711439784,0.006247090349184046,0.09750208849915497
0.16,-0.5,0,200000,0.06177668784921021,0.0038163591616187566,0.07830551550140918
0.16,-0.5,1,200000,0.05212353241665221,0.002716862631589794,0.06679395984096272
0.16,-0.5,2,200000,0.056424569178615304,0.003183732006992344,0.0724054833640848
0.16,-0.5,3,200000,0.07121352278701919,0.005071365827737301,0.08955748284191148
0.16,0.0,0,200000,0.06092340161540647,0.0037116608643921116,0.07641920750858763
0.16,0.0,1,200000,0.057999238713110544,0.003363911691300381,0.07408108169449974
0.16,0.0,2,200000,0.05205020347591379,0.002709223681884028,0.06833093422521443
0.16,0.0,3,200000,0.06477288800166861,0.004195527020076705,0.08240506266910264
0.16,0.5,0,200000,0.05692481185604725,0.003240434204846378,0.0710580410703353
0.16,0.5,1,200000,0.06321965649311123,0.003996724967106981,0.07901008331726213
0.16,0.5,2,200000,0.05182925452121454,0.002686271624224838,0.06758178852585899
0.16,0.5,3,200000,0.05865703667213162,0.0034406479511557933,0.07484327455269998
0.16,1.0,0,200000,0.05512815297980994,0.003039113250965328,0.0701891653392357
0.16,1.0,1,200000,0.06999428479102392,0.004899199903406962,0.08702976972151721
0.16,1.0,2,200000,0.05245397610805978,0.0027514196095449065,0.06677241595372364
0.16,1.0,3,200000,0.05470676872996178,0.002992830544873524,0.06939392346389169
0.16,1.5,0,200000,0.050139979978756424,0.0025140175922700953,0.06477644735099994
0.16,1.5,1,200000,0.07536701850027225,0.00568018747762038,0.09286495446747414
0.16,1.5,2,200000,0.05636046868878108,0.003176502430819072,0.0715945275292214
0.16,1.5,3,200000,0.04809303024933054,0.002312939558563022,0.06083334048479243
0.16,2.0,0,200000,0.05125504752446585,0.002627079896735253,0.06654992585909922
0.16,2.0,1,200000,0.08023018908191706,0.006436883240120164,0.09924717542325098
0.16,2.0,2,200000,0.059081914413327816,0.003490672610743793,0.07582813880700104
0.16,2.0,3,200000,0.04596624174281559,0.0021128953799589628,0.058302700614782405
0.16,2.5,0,200000,0.054576443801486,0.0029785882180167595,0.07220270232696402
0.16,2.5,1,200000,0.08770954883717733,0.007692964957221195,0.10851357705853269
0.16,2.5,2,200000,0.0653043775199586,0.004264661723269275,0.08568387385946243
0.16,2.5,3,200000,0.04404135054711171,0.0019396405580135768,0.05715280819009412
