truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.0,800,33,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,33,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,34,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,34,-6.0,mix_-0.5_+0.5_w0.25,0.009232113867112179,0.10690992617970946
point_+0.0,0.0,400,34,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,34,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,34,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,35,-6.0,mix_-0.5_+0.5_w0.75,0.009232113867112179,0.10690992617970946
point_+0.0,0.0,200,35,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,35,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,35,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,35,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,36,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,36,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,400,36,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,36,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,36,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,37,-6.0,mix_-0.5_+1.0_w0.75,0.010624828263526075,0.11221544160342153
point_+0.0,0.0,200,37,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,400,37,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,37,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,37,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,38,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,38,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,38,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,38,-6.0,point_+0.0,0.0,0.0
